@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute drumOut-1 numeric

@data
516,'2025/12/01 11:22:13:469',2,-0.020117,-0.029415,0.040116,0.18141,-0.446459,-0.196649,0.106514,0.098609,3.127108,0.25
517,'2025/12/01 11:22:13:484',2,-0.007489,0.010402,0.048052,-0.039632,-0.184072,-0.047137,0.109344,0.086667,3.121992,0.25
518,'2025/12/01 11:22:13:499',2,-0.007489,0.010402,0.048052,-0.039632,-0.184072,-0.047137,0.109344,0.086667,3.121992,0.25
519,'2025/12/01 11:22:13:519',2,-0.039562,0.024093,-0.035281,-0.059901,0.017427,0.083023,0.105849,0.085386,3.124027,0.25
520,'2025/12/01 11:22:13:534',2,-0.039562,0.024093,-0.035281,-0.059901,0.017427,0.083023,0.105849,0.085386,3.124027,0.25
521,'2025/12/01 11:22:13:551',2,-0.073606,0.012242,-0.035663,0.1786,-0.234626,-0.016504,0.107772,0.082756,3.124869,0.25
522,'2025/12/01 11:22:13:567',2,-0.073606,0.012242,-0.035663,0.1786,-0.234626,-0.016504,0.107772,0.082756,3.124869,0.25
523,'2025/12/01 11:22:13:585',2,-0.073606,0.012242,-0.035663,0.1786,-0.234626,-0.016504,0.107772,0.082756,3.124869,0.25
524,'2025/12/01 11:22:13:600',2,-0.073606,0.012242,-0.035663,0.1786,-0.234626,-0.016504,0.107772,0.082756,3.124869,0.25
525,'2025/12/01 11:22:13:618',2,-0.119667,-0.011877,0.035804,0.346961,-0.402445,-0.324943,0.132461,0.04884,3.111669,0.25
526,'2025/12/01 11:22:13:634',2,-0.119667,-0.011877,0.035804,0.346961,-0.402445,-0.324943,0.132461,0.04884,3.111669,0.25
527,'2025/12/01 11:22:13:651',2,-0.048239,0.014245,0.083091,-0.027885,-0.139884,-0.266139,0.136402,0.043298,3.101895,0.25
528,'2025/12/01 11:22:13:667',2,-0.048239,0.014245,0.083091,-0.027885,-0.139884,-0.266139,0.136402,0.043298,3.101895,0.25
529,'2025/12/01 11:22:13:684',2,-0.017047,0.010108,0.03104,-0.144103,-0.27825,-0.191419,0.131597,0.036844,3.094836,0.25
530,'2025/12/01 11:22:13:701',2,-0.017047,0.010108,0.03104,-0.144103,-0.27825,-0.191419,0.131597,0.036844,3.094836,0.25
531,'2025/12/01 11:22:13:719',2,-0.014756,0.010861,-0.044827,0.042579,-0.402757,-0.230547,0.129662,0.025825,3.087387,0.25
532,'2025/12/01 11:22:13:734',2,-0.014756,0.010861,-0.044827,0.042579,-0.402757,-0.230547,0.129662,0.025825,3.087387,0.25
533,'2025/12/01 11:22:13:749',2,0.023754,0.026063,-0.015521,0.01054,-0.334703,-0.145598,0.130498,0.013501,3.080427,0.25
534,'2025/12/01 11:22:13:767',2,0.023754,0.026063,-0.015521,0.01054,-0.334703,-0.145598,0.130498,0.013501,3.080427,0.25
535,'2025/12/01 11:22:13:784',2,0.023754,0.026063,-0.015521,0.01054,-0.334703,-0.145598,0.130498,0.013501,3.080427,0.25
536,'2025/12/01 11:22:13:801',2,0.043034,0.013915,-0.005647,0.020911,-0.37179,-0.064185,0.130773,0.003889,3.077393,0.25
